Summary,Issue Type,Epic Link,Description,Priority,Component,Fix Version,Labels,Flow Slug,Rule Codes,NFR Codes,Service
Cai dat R-LIMIT-01 han muc ngay doc tu limit_config,Task,F1 Topup Partner,"Han muc ngay 50.000.000d phai doc tu bang limit_config trong paymentdb, khong hard-code trong LimitPolicy. Tong tinh gom ca giao dich dang giu.",Highest,ewallet-payment-business,Stage-C-business-logic,spec-drift,topup-partner,R-LIMIT-01,,ewallet-payment-business
Cai dat R-REVIEW-01 nguong ra soat va publish PaymentHeld,Task,F1 Topup Partner,"Amount quy doi VND tu 20.000.000d tro len thi dat trang thai HELD, giu tien, VA publish event PaymentHeld. Hai hanh dong nay di cung nhau, thieu mot la vi pham.",Highest,ewallet-payment-business,Stage-C-business-logic,missing-event,topup-partner,R-REVIEW-01,NFR-LAT-01,ewallet-payment-business
Cai dat R-CURRENCY-01 quy doi tien te truoc khi ap han muc,Task,F2 Bill Telco,"Handler gRPC AuthorizePayment phai doc field currency tu request, tra fx_rates, tinh amount_vnd, roi moi ap R-AMOUNT-02 R-LIMIT-01 R-REVIEW-01. Khong duoc gan cung currency=VND.",Highest,ewallet-payment-business,Stage-C-business-logic,spec-drift,bill-telco-payment,R-CURRENCY-01,,ewallet-payment-business
Cai dat R-FX-01 va R-FX-02 luu ca amount goc va amount_vnd,Task,F2 Bill Telco,"payment_transactions luu ca hai gia tri. ledger_entries ghi bang VND theo amount_vnd.",High,ewallet-payment-business,Stage-C-business-logic,spec-drift,bill-telco-payment,R-FX-01,,ewallet-payment-business
Cai dat R-LEDGER-01 but toan kep can bang,Task,F1 Topup Partner,"Moi transaction duoc authorize sinh dung 2 ledger_entries: 1 DEBIT 1 CREDIT cung txn_id, tong bang 0.",Highest,ewallet-payment-business,Stage-C-business-logic,vq-baseline,topup-partner,R-LEDGER-01,,ewallet-payment-business
Cai dat R-LEDGER-02 bu tru bang but toan nguoc,Task,F4 Failure Refund,"Khong sua hoac xoa but toan goc. Chi them but toan nguoc chieu voi txn_id moi va entry_type=REFUND.",Highest,ewallet-payment-business,Stage-C-business-logic,vq-baseline,failure-refund,R-LEDGER-02,,ewallet-payment-business
Cai dat R-EVENT-01 va R-EVENT-02 publish event,Task,F5 Async Notification,"Moi transaction vao trang thai ket thuc publish dung 1 event len ewallet.payment.events voi key la orderId. Bon trang thai ket thuc: CAPTURED REJECTED HELD REVERSED.",Highest,ewallet-payment-business,Stage-C-business-logic,missing-event,async-notification,R-EVENT-01,,ewallet-payment-business
Cai dat R-USAGE-01 va R-USAGE-02 tich luy va hoan han muc,Task,F1 Topup Partner,"Authorize hoac HELD thi cong amount_vnd vao daily_usage. Reverse thi tru lai amount_vnd cua NGAY GOC, khong phai ngay hom nay.",High,ewallet-payment-business,Stage-C-business-logic,vq-baseline,topup-partner,R-USAGE-01,,ewallet-payment-business
Cai dat R-IDEM-01 den R-IDEM-03 chong trung request,Task,F1 Topup Partner,"Thieu X-Idempotency-Key tra 400. Trung key cung payload tra lai ket qua cu. Trung key khac payload tra 409 DUPLICATE_REQUEST. Unique index uq_orders_idem.",High,ewallet-payment-order,Stage-C-business-logic,vq-baseline,topup-partner,R-IDEM-01,,ewallet-payment-order
Cai dat R-COMP-01 luon bu tru sau khi da giu tien,Task,F4 Failure Refund,"Bat ky buoc nao sau AUTHORIZE that bai thi orchestrator BAT BUOC goi ReversePayment truoc khi tra loi cho client.",Highest,ewallet-payment-order,Stage-C-business-logic,vq-baseline,failure-refund,R-COMP-01,NFR-COMP-01,ewallet-payment-order
Cai dat R-COMP-04 khong nuot loi bu tru,Task,F4 Failure Refund,"ReversePayment that bai thi order chuyen FAILED voi reason_code COMPENSATION_FAILED va log muc ERROR. Khong duoc im lang.",Highest,ewallet-payment-order,Stage-C-business-logic,vq-baseline,failure-refund,R-COMP-04,NFR-COMP-02,ewallet-payment-order
Cai dat R-COMP-05 ReversePayment idempotent,Task,F4 Failure Refund,"Goi nhieu lan cho cung txn_id thi lan 2 tro di tra ket qua cu, khong sinh but toan moi.",High,ewallet-payment-business,Stage-C-business-logic,vq-baseline,failure-refund,R-COMP-05,,ewallet-payment-business
Cai dat R-HIST-06 truy van gop thay vi lap,Task,F6 Transaction History,"Lay order_steps cua nhieu don bang MOT truy van IN hoac JOIN. Khong lap truy van theo tung don. Tong so cau SQL cho mot lan goi API khong duoc vuot qua 2.",Highest,ewallet-payment-order,Stage-C-business-logic,db-antipattern,transaction-history,R-HIST-06,NFR-DB-01,ewallet-payment-order
