Summary,Issue Type,Epic Link,Description,Priority,Component,Fix Version,Labels,Flow Slug,Rule Codes,Rule Codes,Rule Codes,NFR Codes,Service
Nap tien thanh cong qua VNPAY,Story,F1 Topup Partner,"Given khach CUST-001 co vi ACTIVE so du 5.000.000d / When goi POST /api/wallet/topup amount=500000 partnerCode=VNPAY / Then 200 COMPLETED, so du 5.500.000d, dung 2 ledger_entries POSTED cung txn_id, 1 event PaymentCompleted, notification_outbox co ban ghi",High,ewallet-payment-order,Stage-C-business-logic,flow-f1,topup-partner,R-TOPUP-01,R-LEDGER-01,R-EVENT-01,NFR-LAT-02,ewallet-payment-order
Nap tien vuot nguong ra soat thi bi treo,Story,F1 Topup Partner,"Given khach CUST-003 co vi ACTIVE / When goi topup amount=25000000 / Then 202 HELD, payment_transactions.status=HELD, tien van bi giu, co 1 event PaymentHeld tren ewallet.payment.events",High,ewallet-payment-business,Stage-C-business-logic,flow-f1,topup-partner,R-REVIEW-01,R-EVENT-01,,NFR-LAT-01,ewallet-payment-business
Nap tien vuot han muc ngay thi bi tu choi,Story,F1 Topup Partner,"Given CUST-003 da giao dich 40.000.000d trong ngay / When goi topup amount=15000000 / Then 422 LIMIT_EXCEEDED va khong co ledger_entries moi",High,ewallet-payment-business,Stage-C-business-logic,flow-f1,topup-partner,R-LIMIT-01,R-USAGE-01,,,ewallet-payment-business
Thieu Idempotency-Key thi bi tu choi,Story,F1 Topup Partner,"When goi POST /api/wallet/topup khong co header X-Idempotency-Key / Then 400 va khong co payment_orders nao duoc tao",Medium,ewallet-business-customer-mobileapp,Stage-C-business-logic,flow-f1,topup-partner,R-IDEM-01,,,,ewallet-business-customer-mobileapp
Goi lai cung Idempotency-Key voi cung payload,Story,F1 Topup Partner,"Given mot don topup da COMPLETED voi key K / When goi lai cung key K va cung payload / Then 200 tra ve dung don cu va khong co transaction moi",Medium,ewallet-payment-order,Stage-C-business-logic,flow-f1,topup-partner,R-IDEM-02,R-IDEM-03,,,ewallet-payment-order
Thanh toan hoa don dien thanh cong,Story,F2 Bill Telco,"Given CUST-001 co 5.000.000d va hoa don EVN PE0123456789 la 1.250.000d UNPAID / When tra cuu roi goi POST /api/wallet/bill/pay amount=1250000 / Then 200 COMPLETED, phi=5000 do bi tran, so du con 3.745.000d, co 4 ledger_entries POSTED",High,ewallet-payment-business,Stage-C-business-logic,flow-f2,bill-telco-payment,R-BILL-01,R-FEE-02,R-BALANCE-01,NFR-LAT-02,ewallet-payment-business
Hoa don khong ton tai,Story,F2 Bill Telco,"When goi GET /api/wallet/bill voi billCode=PE0000000000 / Then 404 BILL_NOT_FOUND va khong co payment_orders nao duoc tao",Medium,ewallet-third-party,Stage-C-business-logic,flow-f2,bill-telco-payment,R-BILL-01,,,NFR-LAT-06,ewallet-third-party
Hoa don da thanh toan,Story,F2 Bill Telco,"When tra cuu billCode=PE0999999999 / Then 409 BILL_ALREADY_PAID",Medium,ewallet-third-party,Stage-C-business-logic,flow-f2,bill-telco-payment,R-BILL-03,,,,ewallet-third-party
So tien gui khac so tien hoa don,Story,F2 Bill Telco,"Given hoa don PE0123456789 la 1.250.000d / When goi thanh toan voi amount=1000000 / Then 422 AMOUNT_MISMATCH va khong authorize",High,ewallet-payment-order,Stage-C-business-logic,flow-f2,bill-telco-payment,R-BILL-02,,,,ewallet-payment-order
Nap dien thoai menh gia khong hop le,Story,F2 Bill Telco,"When goi POST /api/wallet/telco/topup voi amount=35000 / Then 422 AMOUNT_TOO_SMALL hoac INVALID_DENOMINATION",Medium,ewallet-payment-business,Stage-C-business-logic,flow-f2,bill-telco-payment,R-TELCO-01,R-TELCO-02,,,ewallet-payment-business
